doc_id,notice_code,notice_family,title,source_url,source_origin,source_format,heading_structure_present,verified_loaded,retrieved_at,priority_tier,download_status,cleaned_character_count,headings_found,content_hash
irs_cp3219a,CP3219A,underreporter_deficiency,Understanding your CP3219A notice,https://www.irs.gov/individuals/understanding-your-cp3219a-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,10983,23,387c86d375fd31e44dce03c164de9e1199ad9791d01d846b9a7d82492bb9d5e0
irs_cp3219n,CP3219N,non_filer,Understanding your CP3219N notice,https://www.irs.gov/individuals/understanding-your-cp3219n-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,7876,14,1ceb71d4c6aa8e6bcbe14e7eb0449f238ceebf2a061516726fef133fc31452da
irs_cp400_cp401,CP400/CP401,appeals,Understanding your CP400 and CP401 notice,https://www.irs.gov/individuals/understanding-your-cp400-and-cp401-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,3780,6,c0f4674aef9e11c3260b68017efad07bca7b5fb8f4d90eef74567f6d52472739
irs_cp501,CP501,balance_collection,Understanding your CP501 notice,https://www.irs.gov/individuals/understanding-your-cp501-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,5052,7,e012c5dcd1319d70971b7edf9f5c3b96ab9c7feb210bba20326f338ee41ab860
irs_cp503,CP503,balance_collection,Understanding your CP503 notice,https://www.irs.gov/individuals/understanding-your-cp503-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,4158,10,bbf0357d96786bc78d3ca1d3786687cdbdff1d577f1cb1b7bd9cd7e4fbbea086
irs_cp504,CP504,balance_collection,Understanding your CP504 notice,https://www.irs.gov/individuals/understanding-your-cp504-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,6003,9,24446ec3cdec645c3f00a8ecbb828652f2152c7e92c2ab2b5e8e4130b704d0ea
irs_cp515,CP515,non_filer,Understanding your CP515 notice,https://www.irs.gov/individuals/understanding-your-cp515-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,5850,8,57b8d1ec626e53517e3d99852b0a434d54e630bddafd14819671007b6ae23f8b
irs_cp518,CP518,non_filer,Understanding your CP518 notice,https://www.irs.gov/individuals/understanding-your-cp518-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,5326,9,a6ac9cd86d7b062dd6ab56273e2a110c46643e21dfb62b38d02a53f03cfbd7ef
irs_cp521,CP521,installment_agreement,Understanding your CP521 notice,https://www.irs.gov/individuals/understanding-your-cp521-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,2322,4,25e739d413f8ec76a6d5f52f31e2c390f5064fd4d5bf34977398e2038a61f68b
irs_cp523,CP523,installment_agreement,Understanding your CP523 notice,https://www.irs.gov/individuals/understanding-your-cp523-notice,IRS,html,yes,yes,2026-08-21,core,downloaded,3777,8,48f0034d5b56142183017d2a05fde2f54a87d213eb638b9e789ef0e71210bbb6
irs_cp540,CP540,backup_withholding,Understanding your CP540 notice,https://www.irs.gov/individuals/understanding-your-cp540-notice,IRS,html,yes,yes,2026-08-21,general,downloaded,3938,12,e493f92da2b603c958e67d33da2f369aa830d70439c88d8b5fc1fd087f9f84bf
irs_lt11_1058,LT11 / Letter 1058,levy_cdp,Understanding your LT11 notice or letter 1058,https://www.irs.gov/individuals/understanding-your-lt11-notice-or-letter-1058,IRS,html,yes,yes,2026-08-21,core,downloaded,4972,8,69a8c005afffff70b4fd57866ac86143db6fd0faa98e8ba90f4c156bc8bb3708
